pathogen,type,target,human.target,domestic.target,wild.target,livestock.target,companion.target,transmission,direct,indirect,vector,trophic,vector.id,fleas,ticks,mosquitoes,flies,vector.req,region,region.standard,n.america,s.america,europe,asia,africa,oceania,worldwide,environment.reservoir,domestic.reservoir,wild.reservoir,livestock.reservoir,companion.reservoir,reservoir.type,single,multiple,complex,taxon,mammal,environment.1,mollusk,arthropod,fish,amphibian,bird,annelid,helminth,reptile,orders,artiodactyla,carnivora,rodentia,perissodactyla,primates,cetacea,soricomorpha,chiroptera,cingulata,didelphimorphia,diprotodontia,erinaceomorpha,hyracoidea,lagomorpha,pilosa,cef,confidence,reservoir,species,MSW05_Order,MSW05_Family,MSW05_Genus,MSW05_Species,AdultMass_g,SexMat_d,Gest_d,IBI_d,LitterSize,Litters_Yr,BirthWt_g,Wean_d,WeanWt_g,MaxLong_m 
California encephalitis virus,virus,humans,1,0,0,0,0,VB,0,0,1,0,mosquitoes,0,0,1,0,Y,North America,NA,1,0,0,0,0,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,"Lagomorpha, Rodentia",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,A,medium,"desert cottontails (Sylvilagus audubonii), black-tailed jackrabbits (Lepus californicus), California ground squirrels (Spermophilus beecheyi)",Lepus californicus,Lagomorpha,Leporidae,Lepus,californicus,2422.48,263.07,41.77,54.38576162,2.68,4.05,84.93,19.85,1838.74,81.6
California encephalitis virus,virus,humans,1,0,0,0,0,VB,0,0,1,0,mosquitoes,0,0,1,0,Y,North America,NA,1,0,0,0,0,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,"Lagomorpha, Rodentia",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,A,medium,"desert cottontails (Sylvilagus audubonii), black-tailed jackrabbits (Lepus californicus), California ground squirrels (Spermophilus beecheyi)",Spermophilus beecheyi,Rodentia,Sciuridae,Spermophilus,beecheyi,597.82,365,28.37,365,6.71,1,9.29,52.6,66.18,60
Californian myxoma virus,virus,European rabbits,0,1,0,1,0,"VB, DC",1,0,1,0,"mosquitoes, fleas, flies",1,0,1,1,Y,North America,NA,1,0,0,0,0,0,0,0,0,1,0,0,single species,1,0,0,mammal,1,0,0,0,0,0,0,0,0,0,Lagomorpha,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,E,high,brush rabbits (Sylvilagus bachmani),Sylvilagus bachmani,Lagomorpha,Leporidae,Sylvilagus,bachmani,714.53,154,27,29.5,3.35,4.5,27.25,16.27,140.7054862,94.20395818
Calodium hepaticum,helminth,humans,1,0,0,0,0,"DC, T",1,0,0,1,none,0,0,0,0,NA,"Europe, North America, South America","EU,NA,SA",1,1,1,0,0,0,0,1,0,1,0,0,complex,0,0,1,"environment, mammal",1,1,0,0,0,0,0,0,0,0,Rodentia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"mosquitoes probably really important for transovarial transmission. Evidence for potental wild reservoir in many ruminants, bats, rodentts. All kind of unclear.",high,"environment + rats (Rattus rattus, Rattus norvegicus), house mice (Mus musculus)",Rattus rattus,Rodentia,Muridae,Rattus,rattus,142.68,115.29,23.45,31.25,5.88,3.75,4.53,28,37.01,50.4
Calodium hepaticum,helminth,humans,1,0,0,0,0,"DC, T",1,0,0,1,none,0,0,0,0,NA,"Europe, North America, South America","EU,NA,SA",1,1,1,0,0,0,0,1,0,1,0,0,complex,0,0,1,"environment, mammal",1,1,0,0,0,0,0,0,0,0,Rodentia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"mosquitoes probably really important for transovarial transmission. Evidence for potental wild reservoir in many ruminants, bats, rodentts. All kind of unclear.",high,"environment + rats (Rattus rattus, Rattus norvegicus), house mice (Mus musculus)",Rattus norvegicus,Rodentia,Muridae,Rattus,norvegicus,282.89,55.23,21.74,35,8.99,3.5,5.8,25.37,53.07,45.6
Calodium hepaticum,helminth,humans,1,0,0,0,0,"DC, T",1,0,0,1,none,0,0,0,0,NA,"Europe, North America, South America","EU,NA,SA",1,1,1,0,0,0,0,1,0,1,0,0,complex,0,0,1,"environment, mammal",1,1,0,0,0,0,0,0,0,0,Rodentia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"mosquitoes probably really important for transovarial transmission. Evidence for potental wild reservoir in many ruminants, bats, rodentts. All kind of unclear.",high,"environment + rats (Rattus rattus, Rattus norvegicus), house mice (Mus musculus)",Mus musculus,Rodentia,Muridae,Mus,musculus,19.3,64.71,19.6,30,5.54,4.5,1.06,21.5,10,72
Campylobacter coli,bacteria,humans,1,0,0,0,0,T,0,0,0,1,none,0,0,0,0,NA,Worldwide,W,0,0,0,0,0,0,1,0,1,1,1,0,multiple species,0,1,0,"bird, mammal",1,0,0,0,0,0,1,0,0,0,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,high,"chickens (Gallus gallus domesticus), cattle (Bos taurus), wild birds",Bos taurus,Artiodactyla,Bovidae,Bos,taurus,618642.42,755.15,280.48,365,1,1,38000,213.5115627,275000,240
Campylobacter fetus subsp. fetus,bacteria,humans,1,0,0,0,0,T,0,0,0,1,none,0,0,0,0,NA,Worldwide,W,0,0,0,0,0,0,1,0,1,0,1,0,multiple species,0,1,0,"mammal, bird",1,0,0,0,0,0,1,0,0,0,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,high,"cattle (Bos taurus), chickens (Gallus gallus domesticus), pigs (Sus scrofa)",Bos taurus,Artiodactyla,Bovidae,Bos,taurus,618642.42,755.15,280.48,365,1,1,38000,213.5115627,275000,240
Campylobacter fetus subsp. fetus,bacteria,humans,1,0,0,0,0,T,0,0,0,1,none,0,0,0,0,NA,Worldwide,W,0,0,0,0,0,0,1,0,1,0,1,0,multiple species,0,1,0,"mammal, bird",1,0,0,0,0,0,1,0,0,0,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,high,"cattle (Bos taurus), chickens (Gallus gallus domesticus), pigs (Sus scrofa)",Sus scrofa,Artiodactyla,Suidae,Sus,scrofa,84471.54,350.76,115.2,230,4.52,1.5,807.77,97.88,6469.99,252
Campylobacter jejuni,bacteria,humans,1,0,0,0,0,T,0,0,0,1,none,0,0,0,0,NA,Worldwide,W,0,0,0,0,0,0,1,0,1,1,1,0,multiple species,0,1,0,"mammal, bird",1,0,0,0,0,0,1,0,0,0,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,high,"chickens (Gallus gallus domesticus), cattle (Bos taurus), wild birds",Bos taurus,Artiodactyla,Bovidae,Bos,taurus,618642.42,755.15,280.48,365,1,1,38000,213.5115627,275000,240
Campylobacter lari,bacteria,humans,1,0,0,0,0,T,0,0,0,1,none,0,0,0,0,NA,Worldwide,W,0,0,0,0,0,0,1,0,1,1,1,0,multiple species,0,1,0,"mammal, bird",1,0,0,0,0,0,1,0,0,0,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,high,"chickens (Gallus gallus domesticus), cattle (Bos taurus), wild birds",Bos taurus,Artiodactyla,Bovidae,Bos,taurus,618642.42,755.15,280.48,365,1,1,38000,213.5115627,275000,240
Campylobacter upsaliensis,bacteria,humans,1,0,0,0,0,T,0,0,0,1,none,0,0,0,0,NA,Worldwide,W,0,0,0,0,0,0,1,0,1,1,1,0,multiple species,0,1,0,"mammal, bird",1,0,0,0,0,0,1,0,0,0,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,high,"chickens (Gallus gallus domesticus), cattle (Bos taurus), wild birds",Bos taurus,Artiodactyla,Bovidae,Bos,taurus,618642.42,755.15,280.48,365,1,1,38000,213.5115627,275000,240
Canine coronavirus,virus,wild canids,0,0,1,0,0,T,0,0,0,1,none,0,0,0,0,NA,Worldwide,W,0,0,0,0,0,0,1,0,1,0,0,1,single species,1,0,0,mammal,1,0,0,0,0,0,0,0,0,0,Carnivora,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,D,high,dogs (Canis lupus),Canis lupus,Carnivora,Canidae,Canis,lupus,31756.51,679.37,63.5,365,4.98,2,412.31,44.82,5250,354
Canine herpesvirus,virus,wild canids,0,0,1,0,0,"T, DC",1,0,0,1,none,0,0,0,0,NA,Worldwide,W,0,0,0,0,0,0,1,0,1,0,0,1,single species,1,0,0,mammal,1,0,0,0,0,0,0,0,0,0,Carnivora,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A,high,dogs (Canis lupus),Canis lupus,Carnivora,Canidae,Canis,lupus,31756.51,679.37,63.5,365,4.98,2,412.31,44.82,5250,354
Canine parvovirus,virus,wild canids,0,0,1,0,0,T,0,0,0,1,none,0,0,0,0,NA,Worldwide,W,0,0,0,0,0,0,1,0,1,0,0,1,single species,1,0,0,mammal,1,0,0,0,0,0,0,0,0,0,Carnivora,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,F,high,dogs (Canis lupus),Canis lupus,Carnivora,Canidae,Canis,lupus,31756.51,679.37,63.5,365,4.98,2,412.31,44.82,5250,354
Caprine herpesvirus 2,virus,deer,0,1,1,1,0,DC,1,0,0,0,none,0,0,0,0,NA,North America,NA,1,0,0,0,0,0,0,0,1,0,1,0,single species,1,0,0,mammal,1,0,0,0,0,0,0,0,0,0,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A or C,high,goats (Capra hircus),Capra hircus,Artiodactyla,Bovidae,Capra,hircus,47386.47,498.97,156,365,1.45,1,2136.11,158.04,15163.69761,249.6
Chikungunya virus,virus,humans,1,0,0,0,0,VB,0,0,1,0,mosquitoes,0,0,1,0,Y,Africa,AF,0,0,0,0,1,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Primates,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,E,medium,macaques (Macaca spp.),Macaca spp.,Primates,Cercopithecidae,Macaca,spp.,6641.032757,1568.291319,167.7326497,461.8090048,1.01,0.8,428.2026283,288.6084482,1733.851527,360
Choclo virus,virus,humans,1,0,0,0,0,DC,1,0,0,0,none,0,0,0,0,NA,Central America,NA,1,0,0,0,0,0,0,0,0,1,0,0,single species,1,0,0,mammal,1,0,0,0,0,0,0,0,0,0,Rodentia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,medium,fulvous pygmy rice rats (Oligoryzomys fulvescens),Oligoryzomys fulvescens,Rodentia,Cricetidae,Oligoryzomys,fulvescens,25,47.54582505,23.94178314,25.86147242,3.64,3.168576475,2.164133855,17.98023939,11.32121118,32.94303496
Chrysomya bezziana,arthropod,humans,1,0,0,0,0,IC,0,1,0,0,none,0,0,0,0,NA,"Asia, Africa","AS, AF",0,0,0,1,1,0,0,0,1,0,1,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,high,"sheep (Ovis aries), goats (Capra hircus)",Ovis aries,Artiodactyla,Bovidae,Ovis,aries,39097.89,831.62,152.54,365,1.19,1,2376.24,182.5,17500,230.04
Chrysomya bezziana,arthropod,humans,1,0,0,0,0,IC,0,1,0,0,none,0,0,0,0,NA,"Asia, Africa","AS, AF",0,0,0,1,1,0,0,0,1,0,1,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,high,"sheep (Ovis aries), goats (Capra hircus)",Capra hircus,Artiodactyla,Bovidae,Capra,hircus,47386.47,498.97,156,365,1.45,1,2136.11,158.04,15163.69761,249.6
Clonorchis sinensis,helminth,humans,1,0,0,0,0,T,0,0,0,1,none,0,0,0,0,NA,Asia,AS,0,0,0,1,0,0,0,0,1,1,0,1,complex,0,0,1,"mollusk, fish, mammal",1,0,1,0,1,0,0,0,0,0,Carnivora,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A or B,medium,"snails (Parafossarulus spp., Bithynia spp.) + freshwater fish + dogs (Canis lupus), cats (Felis catus)",Canis lupus,Carnivora,Canidae,Canis,lupus,31756.51,679.37,63.5,365,4.98,2,412.31,44.82,5250,354
Clonorchis sinensis,helminth,humans,1,0,0,0,0,T,0,0,0,1,none,0,0,0,0,NA,Asia,AS,0,0,0,1,0,0,0,0,1,1,0,1,complex,0,0,1,"mollusk, fish, mammal",1,0,1,0,1,0,0,0,0,0,Carnivora,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A or B,medium,"snails (Parafossarulus spp., Bithynia spp.) + freshwater fish + dogs (Canis lupus), cats (Felis catus)",Felis catus,Carnivora,Felidae,Felis,catus,2884.8,296.98,62.99,100,4,2,113,56,856.5147446,408
Cochliomyia hominivorax,arthropod,"humans, dogs",1,1,0,0,1,IC,0,1,0,0,none,0,0,0,0,NA,South America,SA,0,1,0,0,0,0,0,0,1,0,1,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,"Artiodactyla, Perissodactyla",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,A,high,"cattle (Bos taurus), horses (Equus caballus), sheep (Ovis aries), goats (Capra hircus)",Bos taurus,Artiodactyla,Bovidae,Bos,taurus,618642.42,755.15,280.48,365,1,1,38000,213.5115627,275000,240
Cochliomyia hominivorax,arthropod,"humans, dogs",1,1,0,0,1,IC,0,1,0,0,none,0,0,0,0,NA,South America,SA,0,1,0,0,0,0,0,0,1,0,1,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,"Artiodactyla, Perissodactyla",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,A,high,"cattle (Bos taurus), horses (Equus caballus), sheep (Ovis aries), goats (Capra hircus)",Equus caballus,Perissodactyla,Equidae,Equus,caballus,403598.53,834.72,338.97,547.5,1,1,37899.99,341.76,176266.0538,744
Cochliomyia hominivorax,arthropod,"humans, dogs",1,1,0,0,1,IC,0,1,0,0,none,0,0,0,0,NA,South America,SA,0,1,0,0,0,0,0,0,1,0,1,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,"Artiodactyla, Perissodactyla",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,A,high,"cattle (Bos taurus), horses (Equus caballus), sheep (Ovis aries), goats (Capra hircus)",Ovis aries,Artiodactyla,Bovidae,Ovis,aries,39097.89,831.62,152.54,365,1.19,1,2376.24,182.5,17500,230.04
Cochliomyia hominivorax,arthropod,"humans, dogs",1,1,0,0,1,IC,0,1,0,0,none,0,0,0,0,NA,South America,SA,0,1,0,0,0,0,0,0,1,0,1,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,"Artiodactyla, Perissodactyla",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,A,high,"cattle (Bos taurus), horses (Equus caballus), sheep (Ovis aries), goats (Capra hircus)",Capra hircus,Artiodactyla,Bovidae,Capra,hircus,47386.47,498.97,156,365,1.45,1,2136.11,158.04,15163.69761,249.6
Colorado tick fever virus,virus,humans,1,0,0,0,0,VB,0,0,1,0,ticks,0,1,0,0,Y,North America,NA,1,0,0,0,0,0,0,0,0,1,0,0,single species,1,0,0,mammal,1,0,0,0,0,0,0,0,0,0,Rodentia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A,high,golden-mantled ground squirrels (Spermophilus lateralis),Spermophilus lateralis,Rodentia,Sciuridae,Spermophilus,lateralis,175.1,420.91,28.42,365,5.18,1,6.09,41.99,85.36,84
Corynebacterium pseudotuberculosis,bacteria,humans,1,0,0,0,0,DC,1,0,0,0,none,0,0,0,0,NA,Worldwide,W,0,0,0,0,0,0,1,0,1,0,1,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,medium,"sheep (Ovis aries), goats (Capra hircus)",Ovis aries,Artiodactyla,Bovidae,Ovis,aries,39097.89,831.62,152.54,365,1.19,1,2376.24,182.5,17500,230.04
Corynebacterium pseudotuberculosis,bacteria,humans,1,0,0,0,0,DC,1,0,0,0,none,0,0,0,0,NA,Worldwide,W,0,0,0,0,0,0,1,0,1,0,1,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,medium,"sheep (Ovis aries), goats (Capra hircus)",Capra hircus,Artiodactyla,Bovidae,Capra,hircus,47386.47,498.97,156,365,1.45,1,2136.11,158.04,15163.69761,249.6
Cowpox virus,virus,"cats, cattle, humans",1,1,0,1,1,DC,1,0,0,0,none,0,0,0,0,NA,Europe,EU,0,0,1,0,0,0,0,0,0,1,0,0,single species,1,0,0,mammal,1,0,0,0,0,0,0,0,0,0,Rodentia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A,high,bank voles (Myodes glareolus),Myodes glareolus,Rodentia,Cricetidae,Myodes,glareolus,20.73,40.91,19.74,21.75,4.31,3.5,1.83,19.73,9.43,58.8
Coxiella burnetii,bacteria,humans,1,0,0,0,0,"DC, IC, T",1,1,0,1,ticks,0,1,0,0,N,Worldwide,W,0,0,0,0,0,0,1,0,1,0,1,1,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,"Artiodactyla, Carnivora",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,D,medium,"cattle (Bos taurus), sheep (Ovis aries), goats (Capra hircus), cats (Felis catus)",Bos taurus,Artiodactyla,Bovidae,Bos,taurus,618642.42,755.15,280.48,365,1,1,38000,213.5115627,275000,240
Coxiella burnetii,bacteria,humans,1,0,0,0,0,"DC, IC, T",1,1,0,1,ticks,0,1,0,0,N,Worldwide,W,0,0,0,0,0,0,1,0,1,0,1,1,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,"Artiodactyla, Carnivora",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,D,medium,"cattle (Bos taurus), sheep (Ovis aries), goats (Capra hircus), cats (Felis catus)",Ovis aries,Artiodactyla,Bovidae,Ovis,aries,39097.89,831.62,152.54,365,1.19,1,2376.24,182.5,17500,230.04
Coxiella burnetii,bacteria,humans,1,0,0,0,0,"DC, IC, T",1,1,0,1,ticks,0,1,0,0,N,Worldwide,W,0,0,0,0,0,0,1,0,1,0,1,1,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,"Artiodactyla, Carnivora",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,D,medium,"cattle (Bos taurus), sheep (Ovis aries), goats (Capra hircus), cats (Felis catus)",Capra hircus,Artiodactyla,Bovidae,Capra,hircus,47386.47,498.97,156,365,1.45,1,2136.11,158.04,15163.69761,249.6
Coxiella burnetii,bacteria,humans,1,0,0,0,0,"DC, IC, T",1,1,0,1,ticks,0,1,0,0,N,Worldwide,W,0,0,0,0,0,0,1,0,1,0,1,1,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,"Artiodactyla, Carnivora",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,D,medium,"cattle (Bos taurus), sheep (Ovis aries), goats (Capra hircus), cats (Felis catus)",Felis catus,Carnivora,Felidae,Felis,catus,2884.8,296.98,62.99,100,4,2,113,56,856.5147446,408
Crimean-Congo hemorrhagic fever virus,virus,humans,1,0,0,0,0,"VB, DC",1,0,1,0,ticks,0,1,0,0,Y,"Africa, Asia, Europe","AF,AS,EU",0,0,1,1,1,0,0,0,1,0,1,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C or D,medium,"cattle (Bos taurus), sheep (Ovis aries), goats (Capra hircus)",Bos taurus,Artiodactyla,Bovidae,Bos,taurus,618642.42,755.15,280.48,365,1,1,38000,213.5115627,275000,240
Crimean-Congo hemorrhagic fever virus,virus,humans,1,0,0,0,0,"VB, DC",1,0,1,0,ticks,0,1,0,0,Y,"Africa, Asia, Europe","AF,AS,EU",0,0,1,1,1,0,0,0,1,0,1,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C or D,medium,"cattle (Bos taurus), sheep (Ovis aries), goats (Capra hircus)",Ovis aries,Artiodactyla,Bovidae,Ovis,aries,39097.89,831.62,152.54,365,1.19,1,2376.24,182.5,17500,230.04
Crimean-Congo hemorrhagic fever virus,virus,humans,1,0,0,0,0,"VB, DC",1,0,1,0,ticks,0,1,0,0,Y,"Africa, Asia, Europe","AF,AS,EU",0,0,1,1,1,0,0,0,1,0,1,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C or D,medium,"cattle (Bos taurus), sheep (Ovis aries), goats (Capra hircus)",Capra hircus,Artiodactyla,Bovidae,Capra,hircus,47386.47,498.97,156,365,1.45,1,2136.11,158.04,15163.69761,249.6
Cryptosporidium cuniculus,protozoa,humans,1,0,0,0,0,T,0,0,0,1,none,0,0,0,0,NA,"North America, Australia, Europe","NA,AU,EU",1,0,1,0,0,1,0,0,1,1,1,1,single species,1,0,0,mammal,1,0,0,0,0,0,0,0,0,0,Lagomorpha,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,A,medium,European rabbits (Oryctolagus cuniculus),Oryctolagus cuniculus,Lagomorpha,Leporidae,Oryctolagus,cuniculus,1590.57,185.61,30.45,29,5.24,4.5,39.11,26.3,211.06,216
Cryptosporidium felis,protozoa,humans,1,0,0,0,0,T,0,0,0,1,none,0,0,0,0,NA,Worldwide,W,0,0,0,0,0,0,1,0,1,0,0,1,single species,1,0,0,mammal,1,0,0,0,0,0,0,0,0,0,Carnivora,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A,high,cats (Felis catus),Felis catus,Carnivora,Felidae,Felis,catus,2884.8,296.98,62.99,100,4,2,113,56,856.5147446,408
Cryptosporidium hominis,protozoa,humans,1,0,0,0,0,T,0,0,0,1,none,0,0,0,0,NA,Worldwide,W,0,0,0,0,0,0,1,0,1,0,1,0,single species,1,0,0,mammal,1,0,0,0,0,0,0,0,0,0,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A?,high,cattle (Bos taurus),Bos taurus,Artiodactyla,Bovidae,Bos,taurus,618642.42,755.15,280.48,365,1,1,38000,213.5115627,275000,240
Cryptosporidium parvum genotype 2,protozoa,humans,1,0,0,0,0,DC,1,0,0,0,none,0,0,0,0,NA,Worldwide,W,0,0,0,0,0,0,1,0,1,0,1,0,single species,1,0,0,mammal,1,0,0,0,0,0,0,0,0,0,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,medium,cattle (Bos taurus),Bos taurus,Artiodactyla,Bovidae,Bos,taurus,618642.42,755.15,280.48,365,1,1,38000,213.5115627,275000,240
Cytauxzoon felis,protozoa,cats,0,1,0,0,1,VB,0,0,1,0,ticks,0,1,0,0,Y,North America,NA,1,0,0,0,0,0,0,0,0,1,0,0,single species,1,0,0,mammal,1,0,0,0,0,0,0,0,0,0,Carnivora,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A,high,bobcats (Lynx rufus),Lynx rufus,Carnivora,Felidae,Lynx,rufus,6374.47,668.22,59.99,365,2.76,0.9,300,59.99,1190,388
Dengue virus,virus,humans,1,0,0,0,0,VB,0,0,1,0,mosquitoes,0,0,1,0,Y,"Asia, Africa","AS,AF",0,0,0,1,1,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Primates,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,C,medium,"monkeys (Macaca nemestrina, Macaca fascicularis, Trachypithecus cristatus, Presbytis melaphos)",Macaca nemestrina,Primates,Cercopithecidae,Macaca,nemestrina,7820.78,1427.17,171,405.07,1.01,0.8,472.92,292.6,1367.39,411.6
Dengue virus,virus,humans,1,0,0,0,0,VB,0,0,1,0,mosquitoes,0,0,1,0,Y,"Asia, Africa","AS,AF",0,0,0,1,1,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Primates,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,C,medium,"monkeys (Macaca nemestrina, Macaca fascicularis, Trachypithecus cristatus, Presbytis melaphos)",Macaca fascicularis,Primates,Cercopithecidae,Macaca,fascicularis,4569.32,1319.5,164.69,398.45,1,1,328.76,283.53,854.16,456
Dengue virus,virus,humans,1,0,0,0,0,VB,0,0,1,0,mosquitoes,0,0,1,0,Y,"Asia, Africa","AS,AF",0,0,0,1,1,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Primates,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,C,medium,"monkeys (Macaca nemestrina, Macaca fascicularis, Trachypithecus cristatus, Presbytis melaphos)",Trachypithecus cristatus,Primates,Cercopithecidae,Trachypithecus,cristatus,7176.81,1461,172.2653718,521.3635263,1.01,0.707934652,423.2886095,362.93,1663.077955,373.2
Dengue virus,virus,humans,1,0,0,0,0,VB,0,0,1,0,mosquitoes,0,0,1,0,Y,"Asia, Africa","AS,AF",0,0,0,1,1,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Primates,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,C,medium,"monkeys (Macaca nemestrina, Macaca fascicularis, Trachypithecus cristatus, Presbytis melaphos)",Presbytis melalophos,Primates,Cercopithecidae,Presbytis,melalophos,6439.12,1369.844475,169.5398543,434.5631684,1.01,0.845709886,350.679488,251.5699626,1143.258302,192
Dermatophilus congolensis,bacteria,humans,1,0,0,0,0,DC,1,0,0,0,none,0,0,0,0,NA,Worldwide,W,0,0,0,0,0,0,1,0,1,0,1,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,"Artiodactyla, Perissodactyla",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,A,high,"sheep (Ovis aries), goats (Capra hircus), cattle (Bos taurus), horses (Equus caballus)",Ovis aries,Artiodactyla,Bovidae,Ovis,aries,39097.89,831.62,152.54,365,1.19,1,2376.24,182.5,17500,230.04
Dermatophilus congolensis,bacteria,humans,1,0,0,0,0,DC,1,0,0,0,none,0,0,0,0,NA,Worldwide,W,0,0,0,0,0,0,1,0,1,0,1,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,"Artiodactyla, Perissodactyla",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,A,high,"sheep (Ovis aries), goats (Capra hircus), cattle (Bos taurus), horses (Equus caballus)",Capra hircus,Artiodactyla,Bovidae,Capra,hircus,47386.47,498.97,156,365,1.45,1,2136.11,158.04,15163.69761,249.6
Dermatophilus congolensis,bacteria,humans,1,0,0,0,0,DC,1,0,0,0,none,0,0,0,0,NA,Worldwide,W,0,0,0,0,0,0,1,0,1,0,1,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,"Artiodactyla, Perissodactyla",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,A,high,"sheep (Ovis aries), goats (Capra hircus), cattle (Bos taurus), horses (Equus caballus)",Bos taurus,Artiodactyla,Bovidae,Bos,taurus,618642.42,755.15,280.48,365,1,1,38000,213.5115627,275000,240
