Host,Endangered,Decreasing,DataDeficient,Citations,NVirion,NZoon,
cynomys gunnisoni,0,1,0,1.361727836,0.30103,0.30103,
cynomys leucurus,0,1,0,1.361727836,0.30103,0.30103,
cynomys ludovicianus,0,1,0,2.315970345,0.60206,0.60206,
cynomys mexicanus,1,1,0,0.698970004,0.30103,0.30103,
cynomys parvidens,1,1,0,1,0.30103,0.30103,
cynopterus brachyotis,0,0,0,1.672097858,0.90309,0.69897,
cynopterus horsfieldii,0,0,0,0,0,0,
cynopterus luzoniensis,0,0,0,0,0,0,
cynopterus minutus,0,1,0,0,0,0,
cynopterus nusatenggara,0,0,0,0,0,0,
cynopterus sphinx,0,0,0,1.86332286,1.079181,1.041393,
cynopterus titthaecheilus,0,0,0,0.602059991,0,0,
cystophora cristata,0,0,0,2.079181246,0.69897,0.4771213,
cyttarops alecto,0,0,0,0,0,0,
dacnomys millardi,0,0,1,0,0,0,
dactylomys boliviensis,0,0,0,0,0,0,
dactylomys dactylinus,0,0,0,0.301029996,0,0,
dactylomys peruanus,0,0,1,0,0,0,
dactylonax palpator,0,0,0,0,0,0,
dactylopsila megalura,0,0,0,0,0,0,
dactylopsila tatei,1,0,0,0,0,0,
dactylopsila trivirgata,0,1,0,0.77815125,0,0,
dama dama,0,0,0,2.64246452,1.39794,0.30103,
dama mesopotamica,1,0,0,1.278753601,0,0,
damaliscus lunatus,0,1,0,1.397940009,1.041393,0.4771213,
damaliscus pygargus,0,0,0,1.361727836,0.7781513,0.4771213,
dasycercus blythi,0,0,0,0.477121255,0,0,
dasycercus cristicauda,0,0,0,0.77815125,0.30103,0,
dasykaluta rosamondae,0,0,0,0.602059991,0,0,
dasymys foxi,0,0,1,0,0,0,
dasymys incomtus,0,0,0,0.602059991,0.60206,0.4771213,
dasymys montanus,1,1,0,0,0,0,
dasymys nudipes,0,0,1,0,0,0,
dasymys rufulus,0,0,0,0.301029996,0,0,
dasyprocta azarae,0,1,1,1.113943352,0,0,
dasyprocta coibae,0,0,0,0,0,0,
dasyprocta croconota,0,0,1,0,0,0,
dasyprocta fuliginosa,0,0,0,0.84509804,0.30103,0.30103,
dasyprocta guamara,0,1,0,0,0,0,
dasyprocta iacki,0,0,1,0,0,0,
dasyprocta kalinowskii,0,0,1,0,0,0,
dasyprocta leporina,0,0,0,1.73239376,0.60206,0.60206,
dasyprocta mexicana,1,1,0,0,0,0,
dasyprocta prymnolopha,0,0,0,0,0,0,
dasyprocta punctata,0,0,0,1,0.4771213,0.4771213,
dasyprocta ruatanica,1,1,0,0,0,0,
dasyprocta variegata,0,0,1,0,0,0,
dasypus hybridus,0,1,0,1.204119983,0,0,
dasypus kappleri,0,0,0,0.698970004,0,0,
dasypus novemcinctus,0,0,0,2.514547753,0.95542425,0.90309,
dasypus pilosus,0,0,1,0.602059991,0,0,
dasypus sabanicola,0,1,0,0.698970004,0,0,
dasypus septemcinctus,0,0,0,0.477121255,0,0,
dasypus yepesi,0,0,1,0.301029996,0,0,
dasyuroides byrnei,0,1,0,1.380211242,0,0,
dasyurus albopunctatus,0,1,0,0.301029996,0,0,
dasyurus geoffroii,0,0,0,0.903089987,0,0,
dasyurus hallucatus,1,1,0,1.62324929,0,0,
dasyurus maculatus,0,1,0,1.301029996,0,0,
dasyurus spartacus,0,0,0,0,0,0,
dasyurus viverrinus,1,1,0,1.72427587,0,0,
daubentonia madagascariensis,1,1,0,1.880813592,0,0,
delanymys brooksi,0,1,0,0,0,0,
delomys collinus,0,1,0,0,0,0,
delomys dorsalis,0,1,0,0.698970004,0,0,
delomys sublineatus,0,0,0,0.698970004,0,0,
delphinapterus leucas,0,0,0,2.5289167,0.7781513,0.4771213,
delphinus delphis,0,0,0,2.344392274,0.60206,0,
deltamys kempi,0,0,0,0.954242509,0,0,
dendrogale melanura,0,1,1,0.477121255,0,0,
dendrogale murina,0,1,0,0.77815125,0,0,
dendrohyrax arboreus,0,1,0,0.301029996,0,0,
dendrohyrax dorsalis,0,0,0,0.698970004,0,0,
dendrohyrax validus,0,1,0,0,0,0,
dendrolagus bennettianus,0,0,0,0,0,0,
dendrolagus dorianus,0,1,0,0.301029996,0,0,
dendrolagus goodfellowi,1,1,0,0.77815125,0.30103,0.30103,
dendrolagus inustus,0,1,0,0.477121255,0,0,
dendrolagus lumholtzi,0,0,0,0.903089987,0,0,
dendrolagus matschiei,1,1,0,1.204119983,0,0,
dendrolagus mayri,1,0,0,0,0,0,
dendrolagus mbaiso,1,1,0,0,0,0,
dendrolagus notatus,1,1,0,0,0,0,
dendrolagus pulcherrimus,1,0,0,0,0,0,
dendrolagus scottae,1,0,0,0,0,0,
dendrolagus spadix,0,1,0,0,0,0,
dendrolagus stellarum,0,1,0,0,0,0,
dendrolagus ursinus,0,1,0,0,0,0,
dendromus insignis,0,0,0,0.301029996,0,0,
dendromus kahuziensis,1,1,0,0,0,0,
dendromus kivu,0,0,0,0,0,0,
dendromus lachaisei,0,0,1,0,0,0,
dendromus lovati,0,1,0,0,0,0,
dendromus melanotis,0,0,0,0.301029996,0,0,
dendromus mesomelas,0,0,0,0,0,0,
dendromus messorius,0,0,0,0,0,0,
dendromus mystacalis,0,0,0,0.301029996,0,0,
dendromus nyikae,0,0,0,0,0,0,
dendromus oreas,0,0,0,0,0,0,
dendromus ruppi,0,0,1,0,0,0,
dendromus vernayi,0,0,1,0,0,0,
dendroprionomys rousseloti,0,0,1,0,0,0,
deomys ferrugineus,0,0,0,0,0,0,
dephomys defua,0,0,0,0,0,0,
dermanura anderseni,0,0,0,0.301029996,0,0,
dermanura azteca,0,0,0,0.301029996,0,0,
dermanura bogotensis,0,0,0,0,0,0,
dermanura cinerea,0,0,0,0.301029996,0.69897,0.69897,
dermanura glauca,0,0,0,0,0.30103,0,
dermanura gnoma,0,0,0,0.477121255,0,0,
dermanura phaeotis,0,0,0,0.698970004,0.84509804,0.84509804,
dermanura rava,0,0,0,0,0,0,
dermanura rosenbergi,0,0,1,0,0,0,
dermanura tolteca,0,0,0,0.301029996,0.4771213,0.4771213,
dermanura watsoni,0,0,0,0.477121255,0,0,
desmalopex leucopterus,0,1,0,0,0,0,
desmalopex microleucopterus,1,1,0,0,0,0,
desmana moschata,1,1,0,1,0,0,
desmodilliscus braueri,0,0,0,0,0,0,
desmodillus auricularis,0,0,0,0.84509804,0.30103,0.30103,
desmodus rotundus,0,0,0,2.588831726,1.1760913,0.30103,
desmomys harringtoni,0,0,0,0,0,0,
desmomys yaldeni,0,0,0,0,0,0,
diaemus youngi,0,0,0,1.146128036,0.30103,0.30103,
dicerorhinus sumatrensis,1,1,0,1.591064607,0,0,
diceros bicornis,1,0,0,2.322219295,1.079181,0.7781513,
diclidurus albus,0,0,0,0,0.30103,0.30103,
diclidurus ingens,0,0,1,0,0,0,
diclidurus isabella,0,0,0,0,0,0,
diclidurus scutatus,0,0,0,0,0,0,
dicrostonyx groenlandicus,0,0,0,1.73239376,0.30103,0.30103,
dicrostonyx hudsonius,0,0,0,0.477121255,0,0,
dicrostonyx nelsoni,0,0,0,0,0,0,
dicrostonyx nunatakensis,0,0,0,0,0,0,
dicrostonyx richardsoni,0,0,0,0.77815125,0,0,
dicrostonyx torquatus,0,0,0,1.602059991,0,0,
dicrostonyx unalascensis,0,0,1,0,0,0,
dicrostonyx vinogradovi,0,0,1,0,0,0,
didelphis albiventris,0,0,0,2.311753861,0.30103,0,
didelphis aurita,0,0,0,1.886490725,0.30103,0.30103,
didelphis imperfecta,0,0,0,0,0,0,
didelphis marsupialis,0,0,0,2.495544338,1.255273,1.1760913,
didelphis pernigra,0,0,0,0,0,0,
didelphis virginiana,0,0,0,2.766412847,0.90309,0.90309,
dinaromys bogdanovi,0,1,0,0.301029996,0,0,
dinomys branickii,0,0,0,0.301029996,0,0,
diomys crumpi,0,0,1,0,0,0,
diphylla ecaudata,0,0,0,1.278753601,0.30103,0.30103,
diplogale hosei,0,1,0,0,0,0,
diplomesodon pulchellum,0,0,0,0.698970004,0,0,
diplomys caniceps,0,0,1,0,0,0,
diplomys labilis,0,0,0,0,0.30103,0.30103,
diplothrix legata,1,1,0,0.698970004,0,0,
dipodomys agilis,0,1,0,0,0,0,
dipodomys californicus,0,0,0,1.041392685,0.30103,0.30103,
dipodomys compactus,0,0,0,0,0,0,
dipodomys deserti,0,0,0,1.230448921,0,0,
dipodomys elator,0,1,0,0.301029996,0,0,
dipodomys gravipes,1,0,0,0,0,0,
dipodomys heermanni,0,0,0,0.698970004,0.4771213,0.4771213,
dipodomys ingens,1,1,0,0.954242509,0,0,
dipodomys merriami,0,0,0,1.84509804,0.4771213,0.4771213,
dipodomys microps,0,0,0,0.954242509,0.30103,0.30103,
dipodomys nelsoni,0,0,0,0,0,0,
dipodomys nitratoides,0,1,0,0.301029996,0.4771213,0.4771213,
dipodomys ordii,0,0,0,1.653212514,0.4771213,0.30103,
dipodomys ornatus,0,0,0,0,0,0,
dipodomys panamintinus,0,0,0,0.954242509,0,0,
dipodomys phillipsii,0,0,0,0,0,0,
dipodomys simulans,0,0,0,0.301029996,0,0,
dipodomys spectabilis,0,1,0,1.643452676,0,0,
dipodomys stephensi,0,1,0,0.698970004,0,0,
dipodomys venustus,0,1,0,0.301029996,0,0,
dipus sagitta,0,0,0,0.903089987,0.30103,0,
distoechurus pennatus,0,0,0,0,0,0,
dobsonia anderseni,0,0,0,0,0.30103,0.30103,
dobsonia beauforti,0,0,0,0,0,0,
dobsonia chapmani,1,1,0,0,0,0,
dobsonia crenulata,0,0,0,0,0,0,
dobsonia emersa,0,0,0,0,0,0,
dobsonia exoleta,0,0,0,0,0,0,
dobsonia inermis,0,0,0,0,0,0,
dobsonia magna,0,0,0,0,0.30103,0.30103,
dobsonia minor,0,0,0,0,0,0,
dobsonia moluccensis,0,0,0,0.477121255,0.69897,0.30103,
dobsonia pannietensis,0,1,0,0,0,0,
dobsonia peronii,0,0,0,0,0,0,
dobsonia praedatrix,0,0,0,0.301029996,0,0,
dobsonia viridis,0,0,0,0.301029996,0,0,
dolichotis patagonum,0,1,0,1.462397998,0,0,
dolichotis salinicola,0,0,0,0.301029996,0,0,
dologale dybowskii,0,0,1,0,0,0,
dorcatragus megalotis,0,1,0,0.602059991,0,0,
dorcopsis atrata,1,1,0,0,0,0,
dorcopsis hageni,0,0,0,0,0,0,
dorcopsis luctuosa,0,1,0,0,0.30103,0,
dorcopsis muelleri,0,0,0,0.77815125,0,0,
dorcopsulus macleayi,0,0,0,0,0,0,
dorcopsulus vanheurni,0,1,0,0.477121255,0,0,
dremomys everetti,0,0,0,0.477121255,0,0,
dremomys gularis,0,0,1,0,0,0,
dremomys lokriah,0,1,0,0,0,0,
dremomys pernyi,0,0,0,0.301029996,0,0,
dremomys pyrrhomerus,0,0,0,0,0,0,
dremomys rufigenis,0,0,0,0.602059991,0,0,
dromiciops gliroides,0,1,0,1.602059991,0,0,
dryadonycteris capixaba,0,0,1,0,0,0,
drymoreomys albimaculatus,0,0,0,0.477121255,0,0,
dryomys laniger,0,0,1,0.301029996,0.30103,0.30103,
dryomys niethammeri,0,0,0,0,0,0,
dryomys nitedula,0,0,0,1.255272505,0.4771213,0.4771213,
dugong dugon,0,1,0,1.86332286,0,0,
dusicyon australis,1,,0,0.477121255,0,0,
dusicyon avus,1,,0,0.301029996,0,0,
dyacopterus brooksi,0,1,0,0,0,0,
dyacopterus rickarti,1,1,0,0,0,0,
dyacopterus spadiceus,0,1,0,0,0,0,
dymecodon pilirostris,0,0,0,0.77815125,0,0,
echimys chrysurus,0,0,0,0,0,0,
echimys saturnus,0,0,1,0,0,0,
echimys vieirai,0,0,1,0,0,0,
echinops telfairi,0,0,0,1.73239376,0,0,
echinosorex gymnura,0,0,0,0.477121255,0,0,
echiothrix centrosa,0,1,0,0.477121255,0,0,
echiothrix leucura,1,1,0,0,0,0,
echymipera clara,0,0,0,0,0,0,
echymipera davidi,1,0,0,0,0,0,
echymipera echinista,0,0,1,0,0,0,
echymipera kalubu,0,0,0,0.477121255,0,0,
echymipera rufescens,0,1,0,0.477121255,0,0,
ectophylla alba,0,1,0,0.77815125,0,0,
eidolon dupreanum,0,1,0,1,0.60206,0.60206,
eidolon helvum,0,1,0,2.075546961,1.556303,1.278736,
eira barbara,0,1,0,1.342422681,0.4771213,0.4771213,
elaphodus cephalophus,0,1,0,1.176091259,0.30103,0.30103,
elaphurus davidianus,1,,0,1.84509804,0.60206,0.30103,
elephantulus brachyrhynchus,0,0,0,0.477121255,0,0,
elephantulus edwardii,0,0,0,1,0,0,
elephantulus fuscipes,0,0,1,0,0,0,
elephantulus fuscus,0,0,1,0,0,0,
elephantulus intufi,0,0,0,0.477121255,0,0,
elephantulus myurus,0,0,0,1.477121255,0,0,
elephantulus pilicaudus,0,0,1,0,0,0,
elephantulus revoilii,0,0,1,0.301029996,0,0,
elephantulus rozeti,0,0,0,0.903089987,0,0,
elephantulus rufescens,0,0,0,0.77815125,0,0,
elephantulus rupestris,0,0,0,0.602059991,0,0,
elephas maximus,1,1,0,2.773054693,1.041393,0.7781513,
eligmodontia moreni,0,0,0,0,0,0,
eligmodontia morgani,0,0,0,0.477121255,0,0,
eligmodontia puerulus,0,0,0,0.301029996,0,0,
eligmodontia typus,0,0,0,0.301029996,0,0,
eliomys melanurus,0,0,0,0.602059991,0.30103,0.30103,
eliomys munbyanus,0,0,0,0,0,0,
eliomys quercinus,0,1,0,2.017033339,0.30103,0.30103,
eliurus antsingy,0,0,1,0.301029996,0,0,
eliurus carletoni,0,0,0,0.477121255,0,0,
eliurus danieli,0,0,0,0,0,0,
eliurus ellermani,0,0,1,0,0,0,
eliurus grandidieri,0,0,0,0,0,0,
eliurus majori,0,0,0,0.301029996,0.30103,0.30103,
eliurus minor,0,0,0,0,0,0,
eliurus myoxinus,0,0,0,0.698970004,0,0,
eliurus penicillatus,1,0,0,0,0,0,
eliurus petteri,1,0,0,0,0,0,
eliurus tanala,0,0,0,0.477121255,0,0,
eliurus webbi,0,0,0,0,0,0,
ellobius alaicus,0,0,1,0.301029996,0,0,
ellobius fuscocapillus,0,0,0,0.477121255,0,0,
ellobius lutescens,0,0,0,1.556302501,0,0,
ellobius talpinus,0,0,0,1.505149978,0,0,
ellobius tancrei,0,0,0,1.146128036,0,0,
emballonura alecto,0,1,0,0,0,0,
emballonura beccarii,0,0,0,0,0,0,
emballonura dianae,0,0,0,0,0,0,
emballonura furax,0,0,0,0,0,0,
emballonura monticola,0,0,0,0.301029996,0,0,
emballonura raffrayana,0,0,0,0,0,0,
emballonura semicaudata,1,1,0,0,0,0,
emballonura serii,0,1,0,0,0,0,
enchisthenes hartii,0,0,0,0.477121255,0,0,
enhydra lutris,1,1,0,2.350248018,0.69897,0.30103,
eoglaucomys fimbriatus,0,0,0,0,0,0,
eolagurus luteus,0,0,0,0.477121255,0,0,
eolagurus przewalskii,0,0,0,0,0,0,
eonycteris major,0,0,0,0,0,0,
eonycteris robusta,0,1,0,0,0,0,
eonycteris spelaea,0,1,0,1.491361694,1.041393,0.7781513,
eospalax fontanierii,0,0,0,0.602059991,0,0,
eospalax rothschildi,0,0,0,0.301029996,0,0,
eospalax smithii,0,0,0,0.301029996,0,0,
eothenomys cachinus,0,0,0,0.477121255,0,0,
eothenomys chinensis,0,0,0,0.301029996,0.30103,0.30103,
eothenomys custos,0,0,0,0,0,0,
eothenomys melanogaster,0,0,0,0.84509804,0.30103,0.30103,
eothenomys miletus,0,0,0,1.397940009,0.60206,0,
eothenomys olitor,0,0,0,0.301029996,0,0,
eothenomys proditor,0,0,1,0.301029996,0,0,
eothenomys wardi,0,0,0,0.477121255,0,0,
eozapus setchuanus,0,0,0,0.477121255,0,0,
episoriculus caudatus,0,0,0,0.477121255,0,0,
episoriculus fumidus,0,0,0,0.301029996,0,0,
episoriculus leucops,0,0,0,0.301029996,0,0,
episoriculus macrurus,0,0,0,0.301029996,0,0,
epixerus ebii,0,0,0,0,0,0,
epomophorus angolensis,0,1,0,0,0,0,
epomophorus anselli,0,0,1,0,0,0,
epomophorus crypturus,0,0,0,0.301029996,0,0,
epomophorus gambianus,0,0,0,1.176091259,0.7781513,0.7781513,
epomophorus grandis,0,0,1,0,0,0,
epomophorus labiatus,0,0,0,0.477121255,0.4771213,0,
epomophorus minimus,0,0,0,0,0,0,
epomophorus minor,0,0,0,0,0,0,
epomophorus wahlbergi,0,0,0,1.176091259,0.4771213,0.4771213,
epomops buettikoferi,0,1,0,0.477121255,0.30103,0.30103,
epomops dobsonii,0,0,0,0,0.30103,0.30103,
epomops franqueti,0,0,0,1.113943352,0.7781513,0.7781513,
eptesicus anatolicus,0,0,0,0,0,0,
eptesicus andinus,0,0,0,0,0,0,
eptesicus bobrinskoi,0,0,1,0,0,0,
eptesicus bottae,0,0,0,0.477121255,0,0,
eptesicus brasiliensis,0,0,0,0.477121255,0.30103,0.30103,
eptesicus chiriquinus,0,0,0,0,0,0,
eptesicus diminutus,0,0,0,0.698970004,0.30103,0.30103,
eptesicus dimissus,0,0,1,0,0,0,
eptesicus floweri,0,0,0,0,0,0,
eptesicus furinalis,0,0,0,1.041392685,0.30103,0.30103,
eptesicus fuscus,0,0,0,2.711807229,0.95542425,0.84509804,
eptesicus gobiensis,0,0,0,0,0,0,
eptesicus guadeloupensis,1,0,0,0,0,0,
eptesicus hottentotus,0,0,0,0.602059991,0,0,
eptesicus innoxius,0,0,0,0,0,0,
eptesicus isabellinus,0,0,0,1.041392685,0.30103,0.30103,
eptesicus japonensis,0,1,0,0,0,0,
eptesicus kobayashii,0,0,1,0,0,0,
eptesicus lobatus,0,0,1,0,0,0,
eptesicus nilssonii,0,0,0,1.301029996,0,0,
eptesicus ognevi,0,0,0,0,0,0,
eptesicus pachyomus,0,0,0,0,0,0,
eptesicus pachyotis,0,0,0,0,0,0,
eptesicus platyops,0,0,1,0,0,0,
eptesicus serotinus,0,0,0,1.897627091,0.90309,0.69897,
eptesicus taddeii,0,0,1,0,0,0,
eptesicus tatei,0,0,1,0,0,0,
equus africanus,1,1,0,1.505149978,0,0,
equus ferus,1,0,0,2.049218023,1.431364,1.079181,
equus grevyi,1,0,0,1.544068044,0.69897,0,
equus hemionus,0,0,0,1.826074803,0.60206,0,
equus kiang,0,0,0,1.230448921,0.60206,0,
equus quagga,0,1,0,1.826074803,1.079181,0.4771213,
equus zebra,0,0,0,1.707570176,0.84509804,0,
eremitalpa granti,0,0,0,1,0,0,
eremodipus lichtensteini,0,0,0,0,0,0,
eremoryzomys polius,0,0,1,0,0,0,
erethizon dorsatum,0,0,0,1.770852012,0.84509804,0.69897,
erignathus barbatus,0,0,0,1.792391689,0.4771213,0,
erinaceus amurensis,0,0,0,0.84509804,0,0,
erinaceus concolor,0,0,0,1.176091259,0,0,
erinaceus europaeus,0,0,0,2.591064607,0.95542425,0.69897,
erinaceus roumanicus,0,0,0,1.462397998,0.4771213,0.30103,
eropeplus canus,0,1,0,0.602059991,0,0,
erophylla bombifrons,0,0,0,0.301029996,0,0,
erophylla sezekorni,0,0,0,0.77815125,0,0,
erythrocebus baumstarki,1,1,0,0,0,0,
erythrocebus patas,0,1,0,2.664641976,1.1760913,1.1139434,
erythrocebus poliophaeus,0,1,1,0,0,0,
eschrichtius robustus,0,0,0,1.826074803,0.30103,0.30103,
eubalaena australis,0,0,0,1.785329835,0.30103,0,
eubalaena glacialis,1,1,0,1.968482949,0,0,
eubalaena japonica,1,0,0,1,0,0,
euchoreutes naso,0,0,0,0.698970004,0.30103,0.30103,
euderma maculatum,0,0,0,0.77815125,0.30103,0.30103,
eudiscoderma thongareeae,1,1,0,0,0,0,
eudiscopus denticulus,0,0,0,0.301029996,0,0,
eudorcas albonotata,0,0,0,0,0,0,
eudorcas rufifrons,0,1,0,0.477121255,0,0,
eudorcas thomsonii,0,1,0,0.77815125,0.84509804,0.4771213,
eudorcas tilonura,1,1,0,0,0,0,
eulemur albifrons,0,1,0,0.301029996,0.30103,0.30103,
eulemur cinereiceps,1,1,0,0.301029996,0,0,
eulemur collaris,1,1,0,0.903089987,0,0,
eulemur coronatus,1,1,0,1.230448921,0,0,
eulemur flavifrons,1,1,0,0.77815125,0,0,
eulemur fulvus,0,1,0,2.053078443,0.60206,0.60206,
eulemur macaco,1,1,0,1.72427587,0.30103,0.30103,
eulemur mongoz,1,1,0,1.414973348,0,0,
eulemur rubriventer,0,1,0,1.431363764,0.30103,0.30103,
eulemur rufifrons,0,1,0,1.301029996,0,0,
eulemur rufus,0,1,0,0.301029996,0,0,
eulemur sanfordi,1,1,0,0.301029996,0,0,
eumetopias jubatus,0,0,0,2.255272505,1.041393,0.69897,
eumops auripendulus,0,0,0,0.477121255,0.30103,0.30103,
eumops bonariensis,0,0,0,0.301029996,0.30103,0.30103,
eumops dabbenei,0,0,0,0,0,0,
eumops delticus,0,0,1,0,0,0,
eumops ferox,0,0,0,0,0,0,
eumops floridanus,0,1,0,0,0,0,
eumops glaucinus,0,0,0,0.84509804,0.30103,0.30103,
eumops hansae,0,0,0,0,0,0,
eumops maurus,0,1,1,0.301029996,0,0,
eumops nanus,0,0,0,0,0,0,
eumops patagonicus,0,0,0,0.477121255,0.30103,0.30103,
eumops perotis,0,1,0,0.903089987,0.30103,0.30103,
eumops trumbulli,0,0,0,0,0,0,
eumops underwoodi,0,0,0,0,0,0,
eumops wilsoni,0,0,1,0,0,0,
euneomys chinchilloides,0,0,1,0.477121255,0,0,
euneomys fossor,0,0,1,0,0,0,
euneomys mordax,0,0,0,0,0,0,
euneomys petersoni,0,0,0,0,0,0,
euoticus elegantulus,0,0,0,0.602059991,0.30103,0.30103,
euoticus pallidus,0,1,0,0,0,0,
eupetaurus cinereus,1,0,0,0,0,0,
euphractus sexcinctus,0,0,0,1.698970004,0,0,
eupleres goudotii,0,1,0,0,0,0,
eupleres major,1,1,0,0,0,0,
euroscaptor grandis,0,0,0,0,0,0,
euroscaptor klossi,0,0,0,0,0,0,
euroscaptor longirostris,0,0,0,0,0,0,
euroscaptor micrura,0,0,0,0,0,0,
euroscaptor mizura,0,1,0,0.477121255,0,0,
euroscaptor parvidens,0,0,1,0.301029996,0,0,
euroscaptor subanura,0,0,1,0.301029996,0,0,
euryoryzomys emmonsae,0,0,1,0,0,0,
euryoryzomys lamia,0,1,0,0,0,0,
euryoryzomys legatus,0,1,0,0.301029996,0,0,
euryoryzomys macconnelli,0,0,0,0,0,0,
euryoryzomys nitidus,0,0,0,0.301029996,0,0,
euryoryzomys russatus,0,0,0,1.204119983,0,0,
euryzygomatomys spinosus,0,0,0,0.477121255,0.30103,0.30103,
eutamias sibiricus,0,0,0,1.361727836,0.4771213,0.30103,
exilisciurus concinnus,0,0,0,0,0,0,
exilisciurus exilis,0,0,1,0,0,0,
exilisciurus whiteheadi,0,0,0,0,0,0,
falsistrellus mackenziei,0,1,0,0.301029996,0,0,
falsistrellus mordax,0,0,1,0,0,0,
falsistrellus petersi,0,0,1,0,0,0,
falsistrellus tasmaniensis,0,1,0,0,0,0,
felis bieti,0,1,0,0.301029996,0,0,
felis chaus,0,1,0,1.301029996,0.30103,0,
felis margarita,0,0,0,1.204119983,0.4771213,0,
felis nigripes,0,1,0,1.255272505,0.60206,0.30103,
felis silvestris,0,1,0,2.418301291,1.079181,0.4771213,
felovia vae,0,0,0,0,0,0,
feresa attenuata,0,0,0,1.079181246,0.30103,0,
feroculus feroculus,1,1,0,0,0,0,
fossa fossana,0,1,0,0.477121255,0,0,
fukomys anselli,0,1,0,1.380211242,0,0,
fukomys bocagei,0,0,0,0,0,0,
fukomys damarensis,0,0,0,1.633468456,0,0,
fukomys darlingi,0,0,0,0.602059991,0,0,
fukomys foxi,0,0,1,0,0,0,
fukomys hanangensis,1,1,0,0,0,0,
fukomys ilariae,0,0,1,0,0,0,
fukomys kafuensis,0,1,0,0,0,0,
fukomys mechowii,0,0,0,1.278753601,0,0,
fukomys ochraceocinereus,0,0,0,0,0,0,
fukomys vandewoestijneae,0,0,1,0,0,0,
fukomys zechi,0,0,0,0,0,0,
funambulus layardi,0,1,0,0,0,0,
funambulus obscurus,0,1,0,0,0,0,
funambulus palmarum,0,0,0,1.278753601,0,0,
funambulus pennantii,0,0,0,0.77815125,0.30103,0.30103,
funambulus sublineatus,0,1,0,0,0,0,
funambulus tristriatus,0,1,0,0.301029996,0.30103,0.30103,
funisciurus anerythrus,0,0,0,0.477121255,0.30103,0.30103,
funisciurus bayonii,0,0,1,0,0,0,
funisciurus carruthersi,0,0,0,0,0.30103,0.30103,
funisciurus congicus,0,0,1,0,0,0,
funisciurus duchaillui,0,0,0,0,0,0,
funisciurus isabella,0,0,0,0,0,0,
funisciurus lemniscatus,0,0,0,0,0,0,
funisciurus leucogenys,0,0,0,0,0,0,
funisciurus pyrropus,0,0,0,0,0.30103,0.30103,
funisciurus substriatus,0,0,1,0,0,0,
furipterus horrens,0,0,0,0.477121255,0,0,
galago gallarum,0,0,0,0,0,0,
galago matschiei,0,1,0,0.301029996,0,0,
galago moholi,0,0,0,1.591064607,0,0,
galago senegalensis,0,1,0,2.176091259,0.4771213,0.4771213,
galagoides demidoff,0,0,0,0.477121255,0.30103,0.30103,
galagoides kumbirensis,0,0,0,0,0,0,
galagoides thomasi,0,0,0,0.602059991,0,0,
galea comes,0,0,1,0,0,0,
galea flavidens,0,0,0,0,0,0,
galea leucoblephara,0,0,0,0.477121255,0,0,
galea musteloides,0,0,1,1.447158031,0,0,
galea spixii,0,0,0,1.447158031,0,0,
galemys pyrenaicus,0,1,0,1.361727836,0,0,
galenomys garleppi,0,0,1,0,0,0,
galeopterus variegatus,0,1,0,1,0,0,
galictis cuja,0,0,0,1.255272505,0.30103,0.30103,
galictis vittata,0,0,0,0.602059991,0,0,
galidia elegans,0,1,0,0.77815125,0,0,
galidictis fasciata,0,1,0,0,0,0,
galidictis grandidieri,1,1,0,0.477121255,0,0,
gardnerycteris crenulatum,0,0,0,0,0,0,
gardnerycteris koepckeae,0,0,1,0,0,0,
gazella arabica,0,1,0,0.84509804,0,0,
gazella bennettii,0,1,0,0.954242509,0.4771213,0.30103,
gazella bilkis,1,,0,0,0,0,
gazella cuvieri,0,1,0,1.322219295,0,0,
gazella dorcas,0,1,0,1.462397998,0.4771213,0.4771213,
gazella gazella,1,1,0,1.568201724,0.7781513,0.60206,
gazella leptoceros,1,1,0,1,0,0,
gazella marica,0,1,0,0.602059991,0,0,
gazella saudiya,1,,0,0,0,0,
gazella spekei,1,1,0,1.041392685,0,0,
gazella subgutturosa,0,1,0,1.799340549,0.7781513,0.4771213,
genetta abyssinica,0,0,1,0,0,0,
genetta angolensis,0,0,0,0,0,0,
genetta bourloni,0,1,0,0,0,0,
genetta cristata,0,1,0,0,0,0,
genetta genetta,0,0,0,1.740362689,0.69897,0.60206,
genetta johnstoni,0,1,0,0,0,0,
genetta maculata,0,0,0,0.77815125,0.4771213,0,
genetta pardina,0,0,0,0.301029996,0,0,
genetta piscivora,0,1,0,0,0,0,
genetta poensis,0,0,1,0,0,0,
genetta servalina,0,0,0,0.602059991,0,0,
genetta thierryi,0,0,0,0.477121255,0,0,
genetta tigrina,0,0,0,0.77815125,0.30103,0,
genetta victoriae,0,0,0,0,0,0,
geocapromys brownii,1,1,0,0,0,0,
geocapromys columbianus,1,,0,0,0,0,
geocapromys ingrahami,0,0,0,0.698970004,0,0,
geocapromys thoracatus,1,,0,0,0,0,
geogale aurita,0,0,0,0.301029996,0,0,
geomys arenarius,0,0,0,0,0,0,
geomys attwateri,0,0,0,0.477121255,0,0,
geomys breviceps,0,0,0,0.301029996,0,0,
geomys bursarius,0,0,0,1.322219295,0.30103,0.30103,
geomys knoxjonesi,0,0,0,0,0,0,
geomys personatus,0,0,0,0,0,0,
geomys pinetis,0,0,0,0.77815125,0,0,
